Company,Description,Website,Help site,Help platform,City,Country,# Employees,Changelog URL,Changelog updated,Status A,Latest contact A,Contact A,Email A,Role A,Status B,Contact B,Email B,Role B
Listen Labs,Listen Labs is an autonomous market researcher that makes deep customer conversations fast and scalable.,listenlabs.ai,https://docs.listenlabs.ai/,Mintlify,San Francisco Bay Area,United States,51-200 employees,https://listenlabs.ai/whatsnew,"April 24, 2026",,,,,,,,,
Avoca,Building the AI Workforce for Service Businesses,avoca.ai,https://help.avoca.ai/,Mintlify,New York,United States,51-200 employees,https://www.avoca.ai/changelog,,,,,,,,,,
MindsDB,Help anyone use the power of ML to ask predictive questions of their data and receive accurate answers,https://mindshub.ai/,https://docs.mindsdb.com/mindsdb,Mintlify,San Francisco Bay Area,United States,11-50 employees,https://mindshub.ai/blog,,,,,,,,,,
arketa,Make it easy for fitness instructors to build an online business,arketa.com,https://help.arketa.com/,Unknown,Los Angeles,United States,51-200 employees,https://arketa.com/blog,"May 21, 2026",,,,,,,,,
Playbook,"Organize, share, and collaborate on creative files and projects with your team",https://www.playbook.com/,https://www.playbook.com/tutorial/,Custom-built,San Francisco Bay Area,United States,2-10 employees,https://playbook.featurebase.app/changelog,,,,,,,,,,
Disco,Help independent brands reach more customers at lower cost,disconetwork.com,https://support.disconetwork.com/hc/en-us,Zendesk,San Francisco Bay Area,United States,11-50 employees,,,,,,,,,,,
Vesta,Builds modern mortgage infrastructure stack,vesta.io,https://support.vesta.com/hc/en-us,Zendesk,San Francisco Bay Area,United States,201-500 employees,https://developer.vesta.io/release-notes,,,,,,,,,,
Supermove,Builds software to help moving companies make more money in less time,supermove.com,https://help.supermove.com/hc/en-us,Zendesk Help Center,San Francisco Bay Area,United States,11-50 employees,https://help.supermove.com/hc/en-us/sections/19410683973780-Monthly-Newsletters,,,,,,,,,,
Deed,The workplace giving platform your employees will love,joindeed.com,https://support.joindeed.com/hc/en-us,Zendesk,New York,United States,51-200 employees,https://resources.joindeed.com/deed-resources/tag/product-announcements,,,,,,,,,,
Whimsical,"Building a workspace for shaping ideas including flowcharts, wireframes, mind maps, and sticky notes",whimsical.com,https://whimsical.com/learn,Custom-built (Whimsical),Denver,United States,11-50 employees,https://whimsical.com/releases,,,,,,,,,,
Matik,Matik generates personalized customer presentations in minutes,matik.io,https://help.matik.io/hc/en-us,Zendesk,San Francisco Bay Area,United States,11-50 employees,https://www.matik.io/blog-tag/product-updates,"February 18, 2026",,,,,,,,,
Elemeno Health,On-Demand Training & Communication at the Point of Care: B2B SaaS for frontline healthcare teams drives consistent care and better outcomes,elemenohealth.com,https://help.elemenohealth.com/en,Intercom,San Francisco Bay Area,United States,11-50 employees,https://help.elemenohealth.com/en/articles/6673053-release-notes,"March 30, 2026",,,,,,,,,
HyperTrack,Track and trace for local deliveries,hypertrack.com,https://hypertrack.com/docs,ReadMe,San Francisco Bay Area,United States,11-50 employees,https://stories.hypertrack.com,"August 28, 2025",,,,,,,,,
"Bot, M.D.","Your friendly A.I. clinical assistant. I provide doctors with a smarter, simpler way to search clinical content.",botmd.io,https://help.botmd.com/hc/en-us,Zendesk,San Francisco Bay Area,United States,11-50 employees,https://help.botmd.com/hc/en-us/categories/14944049273103-Product-Updates,,,,,,,,,,
Landed,Landed is the leading platform for Retail & Food businesses to hire candidates with video.,gotlanded.com,https://support.gotlanded.com/hc/en-us,Zendesk,San Francisco Bay Area,United States,11-50 employees,https://employer.gotlanded.com/product-updates,"September 5, 2025",,,,,,,,,
Ganaz,Ganaz is the leading people platform for agriculture and food manufacturing in North America,ganaz.com,https://www.ganaz.com/helpcenter,Custom-built,San Francisco Bay Area,United States,11-50 employees,https://www.ganaz.com/blog/category/Product+Updates,"March 12, 2024",,,,,,,,,
Catch,"Catch offers health insurance, retirement plans, and tax withholding for freelancers without benefits.",https://catch.co/,https://help.catch.co,Unknown,San Francisco Bay Area,United States,2-10 employees,https://catch.co/blog,"November 1, 2024",,,,,,,,,
Lexion,Lexion is an AI-powered contract management startup,lexion.ai,https://lexion.zendesk.com/hc/en-us,Zendesk,San Francisco Bay Area,United States,51-200 employees,https://lexion.zendesk.com/hc/en-us/sections/5259466392983-Release-Notes,,,,,,,,,,
REVL,"AI Powered Video Souvenirs as a Service. Full end to end solution for roller coasters, skydive drop zones, race tracks, and zip lines.",https://revl.com/,https://help.revl.com/en/knowledge,HubSpot CMS,San Francisco Bay Area,United States,11-50 employees,,,,,,,,,,,
Thatch,Helps startups give great healthcare to their teams,thatch.com,https://support.thatch.com/,Unknown,Remote,N/A,51-200 employees,,,,,,,,,,,
Tavus,"Use your voice for sales, without ever saying a word",tavus.io,https://docs.tavus.io/sections/introduction,Mintlify,Remote,N/A,51-200 employees,https://docs.tavus.io/sections/changelog/changelog,"June 3, 2026",,,,,,,,,
Copy AI,CopyAI is building AI-powered copywriting tools for business customers.,www.copy.ai/,https://support.copy.ai/en,Custom-built (Fullcast),Remote,N/A,201-500 employees,https://www.copy.ai/changelog,"October 17, 2024",,,,,,,,,
Maven,Maven is a startup that helps professionals teach cohort-based classes.,maven.com,https://help.maven.com/en/,Intercom,Remote,N/A,11-50 employees,https://maven.com/resources,"April 24, 2025",,,,,,,,,
Stacker,Stacker is a no-code software creation platform to help developers build software,stackerhq.com,https://stacker.ai/docs,GitBook,London,United Kingdom,11-50 employees,https://feedback.stackerhq.com/changelog,"December 11, 2025",,,,,,,,,
Previse,Previse has pioneered algorithm-driven invoice payment decisions.,previ.se,https://previse.co/en-gb/ip/support/,WordPress,London,United Kingdom,11-50 employees,,,,,,,,,,,
Quorso,"Quorso Global secures new backing from Summit Partners, boosting its mission to empower retailers with intelligent operations software.",quorso.com,https://quorso.com/all-faqs,Custom-built,London,United Kingdom,51-200 employees,https://quorso.com/news,,,,,,,,,,
Volopay,"Volopay is a Fintech startup that makes expense reports digital, fast, inclusive and safe.",http://volopay.co/?utm_source=topstartups.io,https://help.volopay.co/en,Intercom,Singapore,Singapore,51-200 employees,https://www.volopay.com/product/,"July 26, 2024",,,,,,,,,
Folk,We're reinventing contact management for teams and individuals,http://www.folk.app/?utm_source=topstartups.io,https://help.folk.app/en/,Intercom,Paris,France,11-50 employees,https://www.folk.app/changelog,"April 29, 2026",,,,,,,,,
Thematic,Thematic is the intelligence layer your CX suite was missing,https://www.getthematic.com/,https://help.getthematic.com/,Help Scout Docs,San Francisco Bay Area,United States,11-50 employees,https://getthematic.com/changelog,"May 20, 2026",,,,,,,,,
Avo,"Avo is a next-gen analytics governance platform for PMs, devs, and data scientists.",http://www.avo.app/?utm_source=topstartups.io,https://www.avo.app/docs,Unknown,San Francisco Bay Area,United States,11-50 employees,https://avo.app/categories/product-updates,"May 13, 2026",,,,,,,,,
Warmly,Warmly provides instant insights and context on people during virtual meetings.,http://warmly.ai/?utm_source=topstartups.io,https://help.warmly.ai/,Pylon,San Francisco Bay Area,United States,51-200 employees,https://www.warmly.ai/p/resources/launches,"May 29, 2026",,,,,,,,,
Blotout,The customer data platform reimagined for the trusted enterprise,http://blotout.io/?utm_source=topstartups.io,https://help.blotout.io/,Unknown,San Francisco Bay Area,United States,11-50 employees,https://docs.edgetag.io/changelog,"April 28, 2026",,,,,,,,,
Simplified,"Simplified helps you design everything, scale your brand, and collaborate with your team like never before.",http://simplified.co/?utm_source=topstartups.io,https://help.simplified.com/en,Intercom,San Francisco Bay Area,United States,11-50 employees,https://simplified.com/blog/product-updates,"August 19, 2025",,,,,,,,,
Secoda,"Secoda is a collaborative workspace that enables data teams to share metadata, queries, charts, documentation.",https://www.secoda.co/?utm_source=topstartups.io,https://docs.secoda.co,GitBook,Toronto,Canada,11-50 employees,https://www.secoda.co/product-news/october-2025,"October 1, 2025",,,,,,,,,
Conveyor,SaaS platform helping companies build trust with each other by simplifying the exchange of security information,https://www.conveyor.com/?utm_source=topstartups.io,https://docs.conveyor.com/,ReadMe,Remote,N/A,11-50 employees,https://www.conveyor.com/changelog,"May 26, 2026",,,,,,,,,
Fracttal,"Smarter maintenance for connected operations. Optimize your operations, reduce risks and maximize the availability of your assets with a connected maintenance platform.",https://www.fracttal.com/en/,https://help.fracttal.com/hc/en-us,Zendesk,Madrid,Spain,51-200 employees,https://help.fracttal.com/hc/en-us/articles/35644147004941-Automatic-Location-Update-in-WOs-and-Requests,"August 18, 2025",,,,,,,,,
Eolas Medical,Eolas Medical is a knowledge management platform for clinicians founded in 2019.,https://eolasmedical.com/,https://support.eolasmedical.com/?hsLang=en,HubSpot,Belfast,United Kingdom,11-50 employees,,,,,,,,,,,
ZeroDrift,"ZeroDrift provides a real-time compliance platform that acts as a communication firewall, automating checks on outbound messages against regulatory requirements and internal policies for regulated industries like financial services.",https://zerodrift.ai/,https://zerodrift.mintlify.app/api-reference/introduction,Mintlify,New York,United States,11-50 employees,,,,,,,,,,,
Endra Systems AB,"Endra is a Swedish construction technology startup that develops an AI-powered platform to automate the design and documentation of Mechanical, Electrical, and Plumbing (MEP) systems in buildings, streamlining traditionally manual and outdated processes.",https://endra.ai/,https://www.endra.ai/resources/endra-revit-addin-help,Custom-built,Stockholm,Sweden,11-50 employees,,,,,,,,,,,
FaceUp,"FaceUp Technology operates a secure ethics and compliance platform combining anonymous whistleblowing, case management, an AI-powered hotline, surveys, and audit-ready reporting.",https://faceup.com/,https://support.faceup.com/en,HubSpot Knowledge Base,Charleston,United States,11-50 employees,,,,,,,,,,,
Return Helper,Return Helper is a Taipei-based startup providing cross-border e-commerce returns infrastructure for global merchants.,https://returnhelper.com/,https://returnhelpersupport.zendesk.com/hc/en-001,Zendesk,Taipei,Taiwan,51-200 employees,,,,,,,,,,,
Rencore,"Governance for Copilot, Agents, and the data they depend on",https://rencore.com/en/,https://docs.rencore.com/governance/,snazzyDocs,Munich,Germany,51-200 employees,https://docs.rencore.com/governance/releases,"May 20, 2026",,,,,,,,,
